TIME,POT.Value,THER.Value
2608,0,502
2808,0,502
3009,0,502
3210,0,502
3410,0,502
3610,0,502
3811,0,502
4012,0,502
4212,0,502
4413,0,502
4614,0,502
4814,0,502
5015,0,502
5216,0,502
5416,1,502
5617,19,502
5818,36,502
6019,49,502
6219,56,502
6420,69,502
6621,81,502
6821,86,502
7022,88,502
7023,96,502
7424,107,502
7624,131,502
7825,158,502
8026,174,502
8226,181,502
8427,187,502
8628,192,502
9029,203,502
9230,216,502
9431,229,502
9631,234,502
9832,234,502
10033,234,502
10233,234,502
10434,234,502
10635,248,502
10835,275,502
11037,299,502
11238,315,502
11439,338,502
11840,374,502
12041,387,502
12241,391,502
12442,397,502
12643,406,502
12844,414,502
13044,419,502
13245,428,502
13446,435,502
13648,441,502
14049,451,502
14249,471,502
14450,479,502
14651,488,502
14852,492,502
15052,500,502
15253,505,502
15454,514,502
15654,516,502
15855,520,502
16056,522,502
16257,522,502
16458,521,502
16659,522,502
16860,522,502
17060,522,502
17261,521,502
17462,521,502
17662,521,502
17863,521,502
18064,521,502
18265,521,502
18465,521,502
18666,521,502
18867,521,502
19067,521,502
19269,521,502
19470,521,502
19671,521,502
19871,521,502
20072,521,502
20273,521,502
20473,521,502
20674,522,502
20875,521,502
21075,521,501
21276,521,502
21477,521,502
21678,521,502
21879,521,502
22080,521,502
22281,521,502
22481,521,502
22682,521,502
22883,522,502
23084,521,502
23284,521,502
23485,521,502
23686,521,502
23886,521,502
24087,521,502
24288,521,502
24488,521,502
24690,521,502
24891,522,502
25092,521,502
25292,521,502
25493,521,502
25694,521,502
25894,521,502
26095,521,502
26296,521,502
26497,521,502
26697,521,502
26898,522,502
27099,514,502
27300,507,502
27501,499,502
27702,494,502
27902,489,502
28103,475,502
28304,462,502
28505,449,502
28705,443,502
28906,438,502
29107,434,502
29307,421,502
29508,412,502
29709,404,502
29911,390,502
30111,378,502
30312,361,502
30513,356,502
30713,355,502
30914,355,502
31115,355,502
31315,345,502
31516,337,502
31717,328,502
31918,320,502
32118,314,502
32319,305,502
32520,303,502
32721,303,502
32922,299,502
33123,286,502
33324,267,502
33524,252,502
33725,237,502
33926,225,502
34126,201,502
34327,186,502
34528,175,502
34728,167,502
34929,159,502
35130,141,502
35332,125,502
35532,105,502
35733,81,502
35934,66,502
36134,65,502
36335,57,502
36536,47,502
36737,42,502
36937,41,502
37138,39,502
37339,36,502
37539,27,502
37740,24,502
37941,14,502
38141,8,502
38342,3,502
38543,3,502
38744,1,502
38944,1,502
39145,1,502
39346,1,502
39546,0,502
39747,0,502
39948,0,502
40148,0,502
40349,0,502
40550,0,502
40751,0,502
40951,0,502
41152,0,502
41353,0,502
41553,0,502
41754,0,502
41955,0,502
42156,0,502
42356,0,502
42557,0,502
42758,0,502
42958,0,502
43159,0,502
43360,0,502
43560,0,502
43761,0,502
43962,0,502
44163,0,502
44362,0,502
44563,0,502